ts,PriceArea,ImbalanceMWh,ImbalancePriceDKK,BalancingPowerPriceUpDKK,BalancingPowerPriceDownDKK
2020-01-01 00:00:00,DK2,,253.970001,253.970001,237.330002
2020-01-01 01:00:00,DK2,,253.970001,253.970001,235.830002
2020-01-01 02:00:00,DK2,,253.970001,253.970001,233.660004
2020-01-01 03:00:00,DK2,,194.210007,230.449997,194.210007
2020-01-01 04:00:00,DK2,,186.740005,225.149994,186.740005
2020-01-01 05:00:00,DK2,,179.270004,225.369995,179.270004
2020-01-01 06:00:00,DK2,,179.270004,224.100006,179.270004
2020-01-01 07:00:00,DK2,,179.270004,228.809998,179.270004
2020-01-01 08:00:00,DK2,,186.740005,228.509995,186.740005
2020-01-01 09:00:00,DK2,,186.740005,226.119995,186.740005
2020-01-01 10:00:00,DK2,,186.740005,226.639999,186.740005
2020-01-01 11:00:00,DK2,,228.509995,228.509995,228.509995
2020-01-01 12:00:00,DK2,,224.399994,224.399994,224.399994
2020-01-01 13:00:00,DK2,,228.589996,228.589996,228.589996
2020-01-01 14:00:00,DK2,,232.25,232.25,232.25
2020-01-01 15:00:00,DK2,,235.529999,235.529999,235.529999
2020-01-01 16:00:00,DK2,,250.229996,250.229996,237.399994
2020-01-01 17:00:00,DK2,,250.229996,250.229996,236.350006
2020-01-01 18:00:00,DK2,,234.860001,234.860001,234.860001
2020-01-01 19:00:00,DK2,,234.190002,234.190002,234.190002
2020-01-01 20:00:00,DK2,,232.100006,232.100006,232.100006
2020-01-01 21:00:00,DK2,,186.740005,231.270004,186.740005
2020-01-01 22:00:00,DK2,,156.860001,228.660004,156.860001
2020-01-01 23:00:00,DK2,,149.360001,229.869995,149.360001
2020-01-02 00:00:00,DK2,,149.360001,228.830002,149.360001
2020-01-02 01:00:00,DK2,,149.360001,227.259995,149.360001
2020-01-02 02:00:00,DK2,,171.770004,215.009995,171.770004
2020-01-02 03:00:00,DK2,,169.720001,212.25,169.720001
2020-01-02 04:00:00,DK2,,171.770004,214.710007,171.770004
2020-01-02 05:00:00,DK2,,168.029999,255.110001,168.029999
2020-01-02 06:00:00,DK2,,166.389999,314.190002,166.389999
2020-01-02 07:00:00,DK2,,168.029999,335.25,168.029999
2020-01-02 08:00:00,DK2,,171.770004,338.01001,171.770004
2020-01-02 09:00:00,DK2,,179.240005,340.329987,179.240005
2020-01-02 10:00:00,DK2,,186.710007,336.73999,186.710007
2020-01-02 11:00:00,DK2,,186.710007,337.26001,186.710007
2020-01-02 12:00:00,DK2,,186.710007,335.320007,186.710007
2020-01-02 13:00:00,DK2,,194.169998,329.049988,194.169998
2020-01-02 14:00:00,DK2,,194.169998,334.869995,194.169998
2020-01-02 15:00:00,DK2,,205.380005,331.589996,205.380005
2020-01-02 16:00:00,DK2,,343.910004,343.910004,343.910004
2020-01-02 17:00:00,DK2,,194.169998,348.910004,194.169998
2020-01-02 18:00:00,DK2,,189.080002,338.01001,189.080002
2020-01-02 19:00:00,DK2,,151.259995,293.649994,151.259995
2020-01-02 20:00:00,DK2,,123.230003,224.789993,123.230003
2020-01-02 21:00:00,DK2,,123.230003,221.880005,123.230003
2020-01-02 22:00:00,DK2,,112.019997,186.630005,112.019997
2020-01-02 23:00:00,DK2,,112.07,141.429993,112.07
2020-01-03 00:00:00,DK2,,74.559998,74.559998,74.559998
2020-01-03 01:00:00,DK2,,11.43,11.43,11.43
2020-01-03 02:00:00,DK2,,1.05,1.05,1.05
2020-01-03 03:00:00,DK2,,6.35,6.35,6.35
2020-01-03 04:00:00,DK2,,74.110001,74.110001,74.110001
2020-01-03 05:00:00,DK2,,164.360001,182.889999,164.360001
2020-01-03 06:00:00,DK2,,164.360001,199.330002,164.360001
2020-01-03 07:00:00,DK2,,179.300003,215.240005,179.300003
2020-01-03 08:00:00,DK2,,191.110001,218.75,191.110001
2020-01-03 09:00:00,DK2,,220.389999,220.389999,215.539993
2020-01-03 10:00:00,DK2,,237.580002,237.580002,237.580002
2020-01-03 11:00:00,DK2,,283.450012,283.450012,283.450012
2020-01-03 12:00:00,DK2,,283.149994,283.149994,283.149994
2020-01-03 13:00:00,DK2,,284.720001,284.720001,284.720001
2020-01-03 14:00:00,DK2,,194.25,283.230011,194.25
2020-01-03 15:00:00,DK2,,287.190002,287.190002,287.190002
2020-01-03 16:00:00,DK2,,302.350006,302.350006,302.350006
2020-01-03 17:00:00,DK2,,308.929993,308.929993,308.929993
2020-01-03 18:00:00,DK2,,249.309998,249.309998,249.309998
2020-01-03 19:00:00,DK2,,215.839996,215.839996,215.839996
2020-01-03 20:00:00,DK2,,206.949997,206.949997,206.949997
2020-01-03 21:00:00,DK2,,192.0,192.0,192.0
2020-01-03 22:00:00,DK2,,194.25,194.25,164.660004
2020-01-03 23:00:00,DK2,,188.309998,188.309998,162.380005
2020-01-04 00:00:00,DK2,,119.190002,119.190002,119.190002
2020-01-04 01:00:00,DK2,,121.279999,121.279999,121.279999
2020-01-04 02:00:00,DK2,,216.710007,216.710007,48.200001
2020-01-04 03:00:00,DK2,,231.660004,231.660004,28.620001
2020-01-04 04:00:00,DK2,,231.660004,231.660004,0.9
2020-01-04 05:00:00,DK2,,231.660004,231.660004,0.52
2020-01-04 06:00:00,DK2,,229.410004,229.410004,142.509995
2020-01-04 07:00:00,DK2,,229.410004,229.410004,130.699997
2020-01-04 08:00:00,DK2,,231.660004,231.660004,179.199997
2020-01-04 09:00:00,DK2,,231.660004,231.660004,65.760002
2020-01-04 10:00:00,DK2,,231.660004,231.660004,134.139999
2020-01-04 11:00:00,DK2,,229.410004,229.410004,145.720001
2020-01-04 12:00:00,DK2,,224.179993,224.179993,102.68
2020-01-04 13:00:00,DK2,,224.179993,224.179993,130.179993
2020-01-04 14:00:00,DK2,,224.179993,224.179993,152.300003
