ts,power,mean_IGR_Nex,max_temp_Nex,mean_temp_Nex,min_temp_Nex,mean_hum_Nex,prec_Nex,mean_wind_speed_Nex,mean_wind_dir_Nex,DK2_DKK,SYSTEM_DKK,PriceArea,ImbalanceMWh,ImbalancePriceDKK,BalancingPowerPriceUpDKK,BalancingPowerPriceDownDKK
2021-01-01 00:00:00,0.1337459934695991,0.0,3.8,3.6,3.4,81.0,0.0,2.9,203.0,358.579987,180.669998,DK2,,358.570007,358.570007,358.570007
2021-01-01 01:00:00,0.2218377383630357,0.0,3.7,3.5,3.3,84.0,0.0,2.5,195.0,332.459991,177.839996,DK2,,332.450012,332.450012,332.450012
2021-01-01 02:00:00,0.1541250074782467,0.0,3.8,3.3,2.8,90.0,0.3,3.5,194.0,319.369995,175.679993,DK2,,319.350006,319.350006,319.350006
2021-01-01 03:00:00,0.1270542100908532,0.0,2.9,2.5,2.3,93.0,0.1,2.6,198.0,300.540009,176.050003,DK2,,300.529999,300.529999,300.529999
2021-01-01 04:00:00,0.099059360408697,0.0,2.4,2.2,1.9,97.0,0.0,1.4,177.0,299.130005,179.029999,DK2,,299.119995,299.119995,299.119995
2021-01-01 05:00:00,0.005371375675,0.0,2.5,2.2,2.0,100.0,0.2,1.7,167.0,294.890015,181.779999,DK2,,294.869995,294.869995,294.869995
2021-01-01 06:00:00,0.0445262054107142,0.0,2.6,2.4,2.2,100.0,0.4,2.4,153.0,298.309998,185.279999,DK2,,298.299988,298.299988,298.299988
2021-01-01 07:00:00,0.0168481585906746,0.0,2.6,2.4,2.1,100.0,0.6,3.2,172.0,307.089996,185.360001,DK2,,307.079987,307.079987,307.079987
2021-01-01 08:00:00,0.1303847832082672,1.0,2.6,2.5,2.2,100.0,0.0,3.1,171.0,333.950012,187.889999,DK2,,156.25,333.940002,156.25
2021-01-01 09:00:00,0.074037393433201,5.0,2.8,2.6,2.4,100.0,0.0,3.2,176.0,334.850006,192.869995,DK2,,178.580002,334.829987,178.580002
2021-01-01 10:00:00,0.066826175758201,5.0,2.9,2.7,2.4,98.0,0.0,3.3,176.0,351.220001,196.440002,DK2,,171.139999,351.200012,171.139999
2021-01-01 11:00:00,0.0382145785881613,8.0,2.9,2.7,2.5,97.0,0.0,3.0,185.0,377.850006,200.910004,DK2,,218.509995,377.839996,218.509995
2021-01-01 12:00:00,0.0477727709716269,8.0,2.8,2.7,2.5,100.0,0.0,1.9,193.0,338.48999,203.139999,DK2,,226.149994,338.480011,226.149994
2021-01-01 13:00:00,0.0353330900252976,4.0,2.9,2.7,2.5,100.0,0.0,2.2,187.0,332.839996,208.789993,DK2,,228.919998,332.820007,228.919998
2021-01-01 14:00:00,0.0416857914292658,4.0,2.9,2.7,2.5,100.0,0.0,2.1,196.0,346.679993,219.059998,DK2,,346.660004,346.660004,346.660004
2021-01-01 15:00:00,0.0408107566641534,0.0,2.7,2.6,2.4,100.0,0.0,1.7,208.0,394.299988,255.520004,DK2,,581.27002,581.27002,394.279999
2021-01-01 16:00:00,0.0588096166600198,0.0,2.7,2.6,2.4,96.0,0.0,2.3,209.0,448.390015,296.299988,DK2,,500.0,500.0,448.380005
2021-01-01 17:00:00,0.0732726539165674,0.0,2.7,2.5,2.3,92.0,0.0,2.8,226.0,451.0,257.309998,DK2,,450.980011,450.980011,450.980011
2021-01-01 18:00:00,0.1120409834380423,0.0,2.5,2.0,1.6,94.0,0.0,2.1,238.0,449.140015,227.25,DK2,,449.119995,449.119995,449.119995
2021-01-01 19:00:00,0.1164658107093254,0.0,2.9,2.3,1.9,95.0,0.0,2.0,238.0,427.109985,213.559998,DK2,,499.0,499.0,427.100006
2021-01-01 20:00:00,0.1439389689919021,0.0,3.2,2.9,2.7,89.0,0.0,3.1,230.0,400.769989,210.509995,DK2,,589.159973,589.159973,400.76001
2021-01-01 21:00:00,0.0991748852399801,0.0,3.1,2.9,2.7,87.0,0.0,3.2,233.0,397.720001,201.059998,DK2,,737.619995,737.619995,397.709991
2021-01-01 22:00:00,0.1023751781025793,0.0,3.1,2.9,2.7,85.0,0.0,3.6,218.0,369.970001,191.309998,DK2,,800.0,800.0,369.950012
2021-01-01 23:00:00,0.0942787464651124,0.0,3.2,2.9,2.7,87.0,0.0,3.1,215.0,347.420013,189.970001,DK2,,450.0,450.0,347.410004
2021-01-02 00:00:00,0.1081749601284722,0.0,3.1,2.9,2.7,89.0,0.0,3.2,231.0,315.720001,184.830002,DK2,,500.0,500.0,315.709991
