Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
1,01.06.2025 00:00 - 01.06.2025 00:15,371.86,92.54,95,35.8,144.25,151.73,29.96,0.38,104.47
2,01.06.2025 00:15 - 01.06.2025 00:30,57.5,92.54,122,35.8,144.25,151.73,29.96,0.38,104.47
3,01.06.2025 00:30 - 01.06.2025 00:45,11.82,92.54,145,35.8,144.25,151.73,29.96,0.38,104.47
4,01.06.2025 00:45 - 01.06.2025 01:00,7.19,92.54,155,35.8,144.25,151.73,29.96,0.38,104.47
5,01.06.2025 01:00 - 01.06.2025 01:15,241.17,85.22,181,34.6,148.96,155.32,30.41,1.09,104.97
6,01.06.2025 01:15 - 01.06.2025 01:30,-13.31,85.22,219,34.6,148.96,155.32,30.41,1.09,104.97
7,01.06.2025 01:30 - 01.06.2025 01:45,-11.21,85.22,250,34.6,148.96,155.32,30.41,1.09,104.97
8,01.06.2025 01:45 - 01.06.2025 02:00,6.11,85.22,282,34.6,148.96,155.32,30.41,1.09,104.97
9,01.06.2025 02:00 - 01.06.2025 02:15,0.8,77.13,327,35.41,149.31,159.5,31.17,1.47,104.25
10,01.06.2025 02:15 - 01.06.2025 02:30,7.34,77.13,379,35.41,149.31,159.5,31.17,1.47,104.25
11,01.06.2025 02:30 - 01.06.2025 02:45,9,77.13,421,35.41,149.31,159.5,31.17,1.47,104.25
12,01.06.2025 02:45 - 01.06.2025 03:00,4.56,77.13,422,35.41,149.31,159.5,31.17,1.47,104.25
13,01.06.2025 03:00 - 01.06.2025 03:15,12.22,74.09,442,35.13,149.8,159.14,31.06,1.84,105.14
14,01.06.2025 03:15 - 01.06.2025 03:30,37.37,74.09,463,35.13,149.8,159.14,31.06,1.84,105.14
15,01.06.2025 03:30 - 01.06.2025 03:45,5.56,74.09,464,35.13,149.8,159.14,31.06,1.84,105.14
16,01.06.2025 03:45 - 01.06.2025 04:00,5.56,74.09,457,35.13,149.8,159.14,31.06,1.84,105.14
17,01.06.2025 04:00 - 01.06.2025 04:15,1.22,72.66,440,34.3,146.42,150.45,29.4,2.79,105.09
18,01.06.2025 04:15 - 01.06.2025 04:30,76.11,72.66,424,34.3,146.42,150.45,29.4,2.79,105.09
19,01.06.2025 04:30 - 01.06.2025 04:45,75,72.66,416,34.3,146.42,150.45,29.4,2.79,105.09
20,01.06.2025 04:45 - 01.06.2025 05:00,72.66,72.66,435,34.3,146.42,150.45,29.4,2.79,105.09
21,01.06.2025 05:00 - 01.06.2025 05:15,59.6,54.59,440,28.54,143,144.27,28.14,71.88,105.19
22,01.06.2025 05:15 - 01.06.2025 05:30,54.59,54.59,460,28.54,143,144.27,28.14,71.88,105.19
23,01.06.2025 05:30 - 01.06.2025 05:45,54.59,54.59,493,28.54,143,144.27,28.14,71.88,105.19
24,01.06.2025 05:45 - 01.06.2025 06:00,-5.47,54.59,503,28.54,143,144.27,28.14,71.88,105.19
25,01.06.2025 06:00 - 01.06.2025 06:15,31,34.98,550,12.85,130.01,139.64,27.15,249.14,102.47
26,01.06.2025 06:15 - 01.06.2025 06:30,17.82,34.98,604,12.85,130.01,139.64,27.15,249.14,102.47
27,01.06.2025 06:30 - 01.06.2025 06:45,3.97,34.98,602,12.85,130.01,139.64,27.15,249.14,102.47
28,01.06.2025 06:45 - 01.06.2025 07:00,-3.82,34.98,603,12.85,130.01,139.64,27.15,249.14,102.47
29,01.06.2025 07:00 - 01.06.2025 07:15,-32.05,9.41,599,11.63,120.59,126.33,24.62,544.45,102.64
30,01.06.2025 07:15 - 01.06.2025 07:30,-23.76,9.41,562,11.63,120.59,126.33,24.62,544.45,102.64
31,01.06.2025 07:30 - 01.06.2025 07:45,48.5,9.41,574,11.63,120.59,126.33,24.62,544.45,102.64
32,01.06.2025 07:45 - 01.06.2025 08:00,30,9.41,577,11.63,120.59,126.33,24.62,544.45,102.64
33,01.06.2025 08:00 - 01.06.2025 08:15,-15.14,2.17,622,11.54,114.14,122.29,23.88,865.91,100.22
34,01.06.2025 08:15 - 01.06.2025 08:30,-36.09,2.17,624,11.54,114.14,122.29,23.88,865.91,100.22
35,01.06.2025 08:30 - 01.06.2025 08:45,-26.5,2.17,625,11.54,114.14,122.29,23.88,865.91,100.22
36,01.06.2025 08:45 - 01.06.2025 09:00,-8.79,2.17,626,11.54,114.14,122.29,23.88,865.91,100.22
37,01.06.2025 09:00 - 01.06.2025 09:15,0.22,0.22,625,10.59,100.01,97.95,19.1,949.19,93.4
38,01.06.2025 09:15 - 01.06.2025 09:30,-10.52,0.22,618,10.59,100.01,97.95,19.1,949.19,93.4
39,01.06.2025 09:30 - 01.06.2025 09:45,-11.22,0.22,607,10.59,100.01,97.95,19.1,949.19,93.4
40,01.06.2025 09:45 - 01.06.2025 10:00,-37.35,0.22,595,10.59,100.01,97.95,19.1,949.19,93.4
41,01.06.2025 10:00 - 01.06.2025 10:15,-16.09,-0.6,571,10.56,107.59,95.12,18.54,909.88,93.33
42,01.06.2025 10:15 - 01.06.2025 10:30,-30.8,-0.6,553,10.56,107.59,95.12,18.54,909.88,93.33
43,01.06.2025 10:30 - 01.06.2025 10:45,-7.96,-0.6,539,10.56,107.59,95.12,18.54,909.88,93.33
44,01.06.2025 10:45 - 01.06.2025 11:00,-18.77,-0.6,526,10.56,107.59,95.12,18.54,909.88,93.33
45,01.06.2025 11:00 - 01.06.2025 11:15,-2.07,-2.06,512,10.5,107.45,98.24,22.76,1149.5,93.58
46,01.06.2025 11:15 - 01.06.2025 11:30,-10.92,-2.06,500,10.5,107.45,98.24,22.76,1149.5,93.58
47,01.06.2025 11:30 - 01.06.2025 11:45,-6,-2.06,485,10.5,107.45,98.24,22.76,1149.5,93.58
48,01.06.2025 11:45 - 01.06.2025 12:00,-12.89,-2.06,472,10.5,107.45,98.24,22.76,1149.5,93.58
49,01.06.2025 12:00 - 01.06.2025 12:15,-5.48,-5.48,460,10.22,103.24,97.11,18.96,1358.07,92.45
50,01.06.2025 12:15 - 01.06.2025 12:30,-8,-5.48,456,10.22,103.24,97.11,18.96,1358.07,92.45
51,01.06.2025 12:30 - 01.06.2025 12:45,-8.26,-5.48,454,10.22,103.24,97.11,18.96,1358.07,92.45
52,01.06.2025 12:45 - 01.06.2025 13:00,-8.26,-5.48,452,10.22,103.24,97.11,18.96,1358.07,92.45
53,01.06.2025 13:00 - 01.06.2025 13:15,-13.27,-7.16,436,9.99,99.61,95.71,18.69,1409.09,92.13
54,01.06.2025 13:15 - 01.06.2025 13:30,-7.16,-7.16,417,9.99,99.61,95.71,18.69,1409.09,92.13
55,01.06.2025 13:30 - 01.06.2025 13:45,-7.16,-7.16,393,9.99,99.61,95.71,18.69,1409.09,92.13
56,01.06.2025 13:45 - 01.06.2025 14:00,-11.14,-7.16,374,9.99,99.61,95.71,18.69,1409.09,92.13
