Slot Id,Time slot,Imbalance,Imbalance price,Direction,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
1,01.06.2025 00:00 - 01.06.2025 00:15,-33,371.86,-1,92.54,95,35.8,144.25,151.73,29.96,0.38,104.47
2,01.06.2025 00:15 - 01.06.2025 00:30,-33,57.5,-1,92.54,122,35.8,144.25,151.73,29.96,0.38,104.47
3,01.06.2025 00:30 - 01.06.2025 00:45,-33,11.82,-1,92.54,145,35.8,144.25,151.73,29.96,0.38,104.47
4,01.06.2025 00:45 - 01.06.2025 01:00,-33,7.19,-1,92.54,155,35.8,144.25,151.73,29.96,0.38,104.47
5,01.06.2025 01:00 - 01.06.2025 01:15,-1,241.17,-1,85.22,181,34.6,148.96,155.32,30.41,1.09,104.97
6,01.06.2025 01:15 - 01.06.2025 01:30,-1,-13.31,-1,85.22,219,34.6,148.96,155.32,30.41,1.09,104.97
7,01.06.2025 01:30 - 01.06.2025 01:45,-1,-11.21,-1,85.22,250,34.6,148.96,155.32,30.41,1.09,104.97
8,01.06.2025 01:45 - 01.06.2025 02:00,-1,6.11,-1,85.22,282,34.6,148.96,155.32,30.41,1.09,104.97
9,01.06.2025 02:00 - 01.06.2025 02:15,19,0.8,1,77.13,327,35.41,149.31,159.5,31.17,1.47,104.25
10,01.06.2025 02:15 - 01.06.2025 02:30,19,7.34,1,77.13,379,35.41,149.31,159.5,31.17,1.47,104.25
11,01.06.2025 02:30 - 01.06.2025 02:45,19,9,1,77.13,421,35.41,149.31,159.5,31.17,1.47,104.25
12,01.06.2025 02:45 - 01.06.2025 03:00,19,4.56,1,77.13,422,35.41,149.31,159.5,31.17,1.47,104.25
13,01.06.2025 03:00 - 01.06.2025 03:15,-27,12.22,-1,74.09,442,35.13,149.8,159.14,31.06,1.84,105.14
14,01.06.2025 03:15 - 01.06.2025 03:30,-27,37.37,-1,74.09,463,35.13,149.8,159.14,31.06,1.84,105.14
15,01.06.2025 03:30 - 01.06.2025 03:45,-27,5.56,-1,74.09,464,35.13,149.8,159.14,31.06,1.84,105.14
16,01.06.2025 03:45 - 01.06.2025 04:00,-27,5.56,-1,74.09,457,35.13,149.8,159.14,31.06,1.84,105.14
17,01.06.2025 04:00 - 01.06.2025 04:15,7,1.22,1,72.66,440,34.3,146.42,150.45,29.4,2.79,105.09
18,01.06.2025 04:15 - 01.06.2025 04:30,7,76.11,1,72.66,424,34.3,146.42,150.45,29.4,2.79,105.09
